Question,Answer
Who is the Director of The Wizard of Oz?,The Director of The Wizard of Oz is Victor Fleming. Summary: Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
What is the IMDB Rating of The Wizard of Oz?,The IMDB Rating of The Wizard of Oz is 8.0. Summary: Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
What is the Runtime of The Wizard of Oz?,The Runtime of The Wizard of Oz is 102. Summary: Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.
What is the Genre of La règle du jeu?,"La règle du jeu is of Comedy, Drama genre. Summary: A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
Who is the Director of La règle du jeu?,"The Director of La règle du jeu is Jean Renoir. Summary: A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
What is the IMDB Rating of La règle du jeu?,"The IMDB Rating of La règle du jeu is 8.0. Summary: A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
What is the Runtime of La règle du jeu?,"The Runtime of La règle du jeu is 110. Summary: A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
What is the Genre of The Thin Man?,"The Thin Man is of Comedy, Crime, Mystery genre. Summary: Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
Who is the Director of The Thin Man?,"The Director of The Thin Man is W.S. Van Dyke. Summary: Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
What is the IMDB Rating of The Thin Man?,"The IMDB Rating of The Thin Man is 8.0. Summary: Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
What is the Runtime of The Thin Man?,"The Runtime of The Thin Man is 91. Summary: Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
What is the Genre of All Quiet on the Western Front?,"All Quiet on the Western Front is of Drama, War genre. Summary: A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
Who is the Director of All Quiet on the Western Front?,"The Director of All Quiet on the Western Front is Lewis Milestone. Summary: A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
What is the IMDB Rating of All Quiet on the Western Front?,"The IMDB Rating of All Quiet on the Western Front is 8.0. Summary: A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
What is the Runtime of All Quiet on the Western Front?,"The Runtime of All Quiet on the Western Front is 152. Summary: A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
What is the Genre of Bronenosets Potemkin?,"Bronenosets Potemkin is of Drama, History, Thriller genre. Summary: In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
Who is the Director of Bronenosets Potemkin?,"The Director of Bronenosets Potemkin is Sergei M. Eisenstein. Summary: In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
What is the IMDB Rating of Bronenosets Potemkin?,"The IMDB Rating of Bronenosets Potemkin is 8.0. Summary: In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
What is the Runtime of Bronenosets Potemkin?,"The Runtime of Bronenosets Potemkin is 75. Summary: In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
What is the Genre of Knives Out?,"Knives Out is of Comedy, Crime, Drama genre. Summary: A detective investigates the death of a patriarch of an eccentric, combative family."
Who is the Director of Knives Out?,"The Director of Knives Out is Rian Johnson. Summary: A detective investigates the death of a patriarch of an eccentric, combative family."
What is the IMDB Rating of Knives Out?,"The IMDB Rating of Knives Out is 7.9. Summary: A detective investigates the death of a patriarch of an eccentric, combative family."
What is the Runtime of Knives Out?,"The Runtime of Knives Out is 130. Summary: A detective investigates the death of a patriarch of an eccentric, combative family."
What is the Genre of Dil Bechara?,"Dil Bechara is of Comedy, Drama, Romance genre. Summary: The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
Who is the Director of Dil Bechara?,"The Director of Dil Bechara is Mukesh Chhabra. Summary: The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
What is the IMDB Rating of Dil Bechara?,"The IMDB Rating of Dil Bechara is 7.9. Summary: The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
What is the Runtime of Dil Bechara?,"The Runtime of Dil Bechara is 101. Summary: The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group."
What is the Genre of Manbiki kazoku?,"Manbiki kazoku is of Crime, Drama genre. Summary: A family of small-time crooks take in a child they find outside in the cold."
Who is the Director of Manbiki kazoku?,The Director of Manbiki kazoku is Hirokazu Koreeda. Summary: A family of small-time crooks take in a child they find outside in the cold.
What is the IMDB Rating of Manbiki kazoku?,The IMDB Rating of Manbiki kazoku is 7.9. Summary: A family of small-time crooks take in a child they find outside in the cold.
What is the Runtime of Manbiki kazoku?,The Runtime of Manbiki kazoku is 121. Summary: A family of small-time crooks take in a child they find outside in the cold.
What is the Genre of Marriage Story?,"Marriage Story is of Comedy, Drama, Romance genre. Summary: Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together."
Who is the Director of Marriage Story?,The Director of Marriage Story is Noah Baumbach. Summary: Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
What is the IMDB Rating of Marriage Story?,The IMDB Rating of Marriage Story is 7.9. Summary: Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
What is the Runtime of Marriage Story?,The Runtime of Marriage Story is 137. Summary: Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.
What is the Genre of Call Me by Your Name?,"Call Me by Your Name is of Drama, Romance genre. Summary: In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
Who is the Director of Call Me by Your Name?,"The Director of Call Me by Your Name is Luca Guadagnino. Summary: In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
What is the IMDB Rating of Call Me by Your Name?,"The IMDB Rating of Call Me by Your Name is 7.9. Summary: In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
What is the Runtime of Call Me by Your Name?,"The Runtime of Call Me by Your Name is 132. Summary: In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
"What is the Genre of I, Daniel Blake?","I, Daniel Blake is of Drama genre. Summary: After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
"Who is the Director of I, Daniel Blake?","The Director of I, Daniel Blake is Ken Loach. Summary: After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
"What is the IMDB Rating of I, Daniel Blake?","The IMDB Rating of I, Daniel Blake is 7.9. Summary: After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
"What is the Runtime of I, Daniel Blake?","The Runtime of I, Daniel Blake is 100. Summary: After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance."
What is the Genre of Isle of Dogs?,"Isle of Dogs is of Animation, Adventure, Comedy genre. Summary: Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
Who is the Director of Isle of Dogs?,"The Director of Isle of Dogs is Wes Anderson. Summary: Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
What is the IMDB Rating of Isle of Dogs?,"The IMDB Rating of Isle of Dogs is 7.9. Summary: Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
What is the Runtime of Isle of Dogs?,"The Runtime of Isle of Dogs is 101. Summary: Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
What is the Genre of Hunt for the Wilderpeople?,"Hunt for the Wilderpeople is of Adventure, Comedy, Drama genre. Summary: A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush."
Who is the Director of Hunt for the Wilderpeople?,The Director of Hunt for the Wilderpeople is Taika Waititi. Summary: A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
What is the IMDB Rating of Hunt for the Wilderpeople?,The IMDB Rating of Hunt for the Wilderpeople is 7.9. Summary: A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
What is the Runtime of Hunt for the Wilderpeople?,The Runtime of Hunt for the Wilderpeople is 101. Summary: A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
What is the Genre of Captain Fantastic?,"Captain Fantastic is of Comedy, Drama genre. Summary: In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
Who is the Director of Captain Fantastic?,"The Director of Captain Fantastic is Matt Ross. Summary: In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
What is the IMDB Rating of Captain Fantastic?,"The IMDB Rating of Captain Fantastic is 7.9. Summary: In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
What is the Runtime of Captain Fantastic?,"The Runtime of Captain Fantastic is 118. Summary: In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
What is the Genre of Sing Street?,"Sing Street is of Comedy, Drama, Music genre. Summary: A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes."
Who is the Director of Sing Street?,The Director of Sing Street is John Carney. Summary: A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
What is the IMDB Rating of Sing Street?,The IMDB Rating of Sing Street is 7.9. Summary: A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
What is the Runtime of Sing Street?,The Runtime of Sing Street is 106. Summary: A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
What is the Genre of Thor: Ragnarok?,"Thor: Ragnarok is of Action, Adventure, Comedy genre. Summary: Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
Who is the Director of Thor: Ragnarok?,"The Director of Thor: Ragnarok is Taika Waititi. Summary: Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
What is the IMDB Rating of Thor: Ragnarok?,"The IMDB Rating of Thor: Ragnarok is 7.9. Summary: Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
What is the Runtime of Thor: Ragnarok?,"The Runtime of Thor: Ragnarok is 130. Summary: Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela."
What is the Genre of Nightcrawler?,"Nightcrawler is of Crime, Drama, Thriller genre. Summary: When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
Who is the Director of Nightcrawler?,"The Director of Nightcrawler is Dan Gilroy. Summary: When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
What is the IMDB Rating of Nightcrawler?,"The IMDB Rating of Nightcrawler is 7.9. Summary: When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
What is the Runtime of Nightcrawler?,"The Runtime of Nightcrawler is 117. Summary: When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
What is the Genre of Jojo Rabbit?,"Jojo Rabbit is of Comedy, Drama, War genre. Summary: A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home."
Who is the Director of Jojo Rabbit?,The Director of Jojo Rabbit is Taika Waititi. Summary: A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
What is the IMDB Rating of Jojo Rabbit?,The IMDB Rating of Jojo Rabbit is 7.9. Summary: A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
What is the Runtime of Jojo Rabbit?,The Runtime of Jojo Rabbit is 108. Summary: A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
What is the Genre of Arrival?,"Arrival is of Drama, Sci-Fi genre. Summary: A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world."
Who is the Director of Arrival?,The Director of Arrival is Denis Villeneuve. Summary: A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.
What is the IMDB Rating of Arrival?,The IMDB Rating of Arrival is 7.9. Summary: A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.
What is the Runtime of Arrival?,The Runtime of Arrival is 116. Summary: A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.
What is the Genre of Star Wars: Episode VII - The Force Awakens?,"Star Wars: Episode VII - The Force Awakens is of Action, Adventure, Sci-Fi genre. Summary: As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
Who is the Director of Star Wars: Episode VII - The Force Awakens?,"The Director of Star Wars: Episode VII - The Force Awakens is J.J. Abrams. Summary: As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
What is the IMDB Rating of Star Wars: Episode VII - The Force Awakens?,"The IMDB Rating of Star Wars: Episode VII - The Force Awakens is 7.9. Summary: As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
What is the Runtime of Star Wars: Episode VII - The Force Awakens?,"The Runtime of Star Wars: Episode VII - The Force Awakens is 138. Summary: As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
What is the Genre of Before Midnight?,"Before Midnight is of Drama, Romance genre. Summary: We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna."
Who is the Director of Before Midnight?,The Director of Before Midnight is Richard Linklater. Summary: We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
What is the IMDB Rating of Before Midnight?,The IMDB Rating of Before Midnight is 7.9. Summary: We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
What is the Runtime of Before Midnight?,The Runtime of Before Midnight is 109. Summary: We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
What is the Genre of X-Men: Days of Future Past?,"X-Men: Days of Future Past is of Action, Adventure, Sci-Fi genre. Summary: The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
Who is the Director of X-Men: Days of Future Past?,The Director of X-Men: Days of Future Past is Bryan Singer. Summary: The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
What is the IMDB Rating of X-Men: Days of Future Past?,The IMDB Rating of X-Men: Days of Future Past is 7.9. Summary: The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
What is the Runtime of X-Men: Days of Future Past?,The Runtime of X-Men: Days of Future Past is 132. Summary: The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.
What is the Genre of Bir Zamanlar Anadolu'da?,"Bir Zamanlar Anadolu'da is of Crime, Drama genre. Summary: A group of men set out in search of a dead body in the Anatolian steppes."
Who is the Director of Bir Zamanlar Anadolu'da?,The Director of Bir Zamanlar Anadolu'da is Nuri Bilge Ceylan. Summary: A group of men set out in search of a dead body in the Anatolian steppes.
What is the IMDB Rating of Bir Zamanlar Anadolu'da?,The IMDB Rating of Bir Zamanlar Anadolu'da is 7.9. Summary: A group of men set out in search of a dead body in the Anatolian steppes.
What is the Runtime of Bir Zamanlar Anadolu'da?,The Runtime of Bir Zamanlar Anadolu'da is 157. Summary: A group of men set out in search of a dead body in the Anatolian steppes.
What is the Genre of The Artist?,"The Artist is of Comedy, Drama, Romance genre. Summary: An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era."
Who is the Director of The Artist?,The Director of The Artist is Michel Hazanavicius. Summary: An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
What is the IMDB Rating of The Artist?,The IMDB Rating of The Artist is 7.9. Summary: An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
What is the Runtime of The Artist?,The Runtime of The Artist is 100. Summary: An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
What is the Genre of Edge of Tomorrow?,"Edge of Tomorrow is of Action, Adventure, Sci-Fi genre. Summary: A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
Who is the Director of Edge of Tomorrow?,"The Director of Edge of Tomorrow is Doug Liman. Summary: A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
What is the IMDB Rating of Edge of Tomorrow?,"The IMDB Rating of Edge of Tomorrow is 7.9. Summary: A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
What is the Runtime of Edge of Tomorrow?,"The Runtime of Edge of Tomorrow is 113. Summary: A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies."
What is the Genre of Amour?,"Amour is of Drama, Romance genre. Summary: Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
Who is the Director of Amour?,"The Director of Amour is Michael Haneke. Summary: Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
What is the IMDB Rating of Amour?,"The IMDB Rating of Amour is 7.9. Summary: Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
What is the Runtime of Amour?,"The Runtime of Amour is 127. Summary: Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
What is the Genre of The Irishman?,"The Irishman is of Biography, Crime, Drama genre. Summary: An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
Who is the Director of The Irishman?,"The Director of The Irishman is Martin Scorsese. Summary: An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
What is the IMDB Rating of The Irishman?,"The IMDB Rating of The Irishman is 7.9. Summary: An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
What is the Runtime of The Irishman?,"The Runtime of The Irishman is 209. Summary: An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s."
What is the Genre of Un prophète?,"Un prophète is of Crime, Drama genre. Summary: A young Arab man is sent to a French prison."
Who is the Director of Un prophète?,The Director of Un prophète is Jacques Audiard. Summary: A young Arab man is sent to a French prison.
What is the IMDB Rating of Un prophète?,The IMDB Rating of Un prophète is 7.9. Summary: A young Arab man is sent to a French prison.
What is the Runtime of Un prophète?,The Runtime of Un prophète is 155. Summary: A young Arab man is sent to a French prison.
What is the Genre of Moon?,"Moon is of Drama, Mystery, Sci-Fi genre. Summary: Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
Who is the Director of Moon?,"The Director of Moon is Duncan Jones. Summary: Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
What is the IMDB Rating of Moon?,"The IMDB Rating of Moon is 7.9. Summary: Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
What is the Runtime of Moon?,"The Runtime of Moon is 97. Summary: Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
What is the Genre of Låt den rätte komma in?,"Låt den rätte komma in is of Crime, Drama, Fantasy genre. Summary: Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
Who is the Director of Låt den rätte komma in?,"The Director of Låt den rätte komma in is Tomas Alfredson. Summary: Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
What is the IMDB Rating of Låt den rätte komma in?,"The IMDB Rating of Låt den rätte komma in is 7.9. Summary: Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
What is the Runtime of Låt den rätte komma in?,"The Runtime of Låt den rätte komma in is 114. Summary: Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
What is the Genre of District 9?,"District 9 is of Action, Sci-Fi, Thriller genre. Summary: Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology."
Who is the Director of District 9?,The Director of District 9 is Neill Blomkamp. Summary: Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
What is the IMDB Rating of District 9?,The IMDB Rating of District 9 is 7.9. Summary: Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
What is the Runtime of District 9?,The Runtime of District 9 is 112. Summary: Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
What is the Genre of The Wrestler?,"The Wrestler is of Drama, Sport genre. Summary: A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
Who is the Director of The Wrestler?,"The Director of The Wrestler is Darren Aronofsky. Summary: A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
What is the IMDB Rating of The Wrestler?,"The IMDB Rating of The Wrestler is 7.9. Summary: A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
What is the Runtime of The Wrestler?,"The Runtime of The Wrestler is 109. Summary: A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
What is the Genre of Jab We Met?,"Jab We Met is of Comedy, Drama, Romance genre. Summary: A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman."
Who is the Director of Jab We Met?,The Director of Jab We Met is Imtiaz Ali. Summary: A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
What is the IMDB Rating of Jab We Met?,The IMDB Rating of Jab We Met is 7.9. Summary: A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
What is the Runtime of Jab We Met?,The Runtime of Jab We Met is 138. Summary: A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
What is the Genre of Boyhood?,"Boyhood is of Drama genre. Summary: The life of Mason, from early childhood to his arrival at college."
Who is the Director of Boyhood?,"The Director of Boyhood is Richard Linklater. Summary: The life of Mason, from early childhood to his arrival at college."
What is the IMDB Rating of Boyhood?,"The IMDB Rating of Boyhood is 7.9. Summary: The life of Mason, from early childhood to his arrival at college."
What is the Runtime of Boyhood?,"The Runtime of Boyhood is 165. Summary: The life of Mason, from early childhood to his arrival at college."
"What is the Genre of 4 luni, 3 saptamâni si 2 zile?","4 luni, 3 saptamâni si 2 zile is of Drama genre. Summary: A woman assists her friend in arranging an illegal abortion in 1980s Romania."
"Who is the Director of 4 luni, 3 saptamâni si 2 zile?","The Director of 4 luni, 3 saptamâni si 2 zile is Cristian Mungiu. Summary: A woman assists her friend in arranging an illegal abortion in 1980s Romania."
"What is the IMDB Rating of 4 luni, 3 saptamâni si 2 zile?","The IMDB Rating of 4 luni, 3 saptamâni si 2 zile is 7.9. Summary: A woman assists her friend in arranging an illegal abortion in 1980s Romania."
"What is the Runtime of 4 luni, 3 saptamâni si 2 zile?","The Runtime of 4 luni, 3 saptamâni si 2 zile is 113. Summary: A woman assists her friend in arranging an illegal abortion in 1980s Romania."
What is the Genre of Star Trek?,"Star Trek is of Action, Adventure, Sci-Fi genre. Summary: The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time."
Who is the Director of Star Trek?,The Director of Star Trek is J.J. Abrams. Summary: The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
What is the IMDB Rating of Star Trek?,The IMDB Rating of Star Trek is 7.9. Summary: The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
What is the Runtime of Star Trek?,The Runtime of Star Trek is 127. Summary: The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.
What is the Genre of In Bruges?,"In Bruges is of Comedy, Crime, Drama genre. Summary: Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
Who is the Director of In Bruges?,"The Director of In Bruges is Martin McDonagh. Summary: Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
What is the IMDB Rating of In Bruges?,"The IMDB Rating of In Bruges is 7.9. Summary: Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
What is the Runtime of In Bruges?,"The Runtime of In Bruges is 107. Summary: Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be."
What is the Genre of The Man from Earth?,"The Man from Earth is of Drama, Fantasy, Mystery genre. Summary: An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine."
Who is the Director of The Man from Earth?,The Director of The Man from Earth is Richard Schenkman. Summary: An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
What is the IMDB Rating of The Man from Earth?,The IMDB Rating of The Man from Earth is 7.9. Summary: An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
What is the Runtime of The Man from Earth?,The Runtime of The Man from Earth is 87. Summary: An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
